g,Level (eV)
3,15.74778000
3,15.74844000
3,15.74906000
3,15.74963000
3,15.75015000
3,15.75062000
3,15.75108000
3,15.75147000
3,15.75191000
3,15.75223000
3,15.75254000
3,15.75287000
3,15.75315000
3,15.75342000
3,15.75368000
3,15.75392000
3,15.75414000
3,15.75435000
3,15.75457000
3,15.75475000
3,15.75492000
3,15.75509000
3,15.75528000
3,15.75544000
3,15.75558000
3,15.76220000
3,15.76392000
3,15.79610000
3,15.79729000
3,15.82100000
3,15.82185000
3,15.83970000
3,15.84047000
3,15.85440000
3,15.85491000
3,15.86590000
3,15.86638000
3,15.87520000
3,15.87556000
3,15.88270000
3,15.88307000
3,15.88910000
3,15.88929000
3,15.89430000
3,15.89451000
3,15.89870000
3,15.89892000
3,15.90250000
3,15.90265000
3,15.90580000
3,15.90588000
3,15.90867000
3,15.91112000
3,15.91325000
3,15.91512000
3,15.91679000
3,15.91828000
3,15.91962000
3,15.92081000
3,15.92189000
3,15.92286000
3,15.92375000
3,15.92457000
3,15.92529000
3,15.92596000
3,15.92658000
3,15.92713000
3,15.92768000
3,15.92816000
3,15.92858000
3,15.92902000
3,15.92942000
3,15.92974000
3,15.93008000
3,15.93042000
3,15.93068000
3,15.93095000
3,15.93121000
3,15.93141000
3,15.93168000
3,26.61576100
3,27.99675700
3,28.51022300
3,28.75942900
3,28.89973500
3,28.98601400
3,29.04352500
3,29.08304000
3,29.11185800
3,29.13319900
3,29.15011800
3,29.16294000
3,29.17323300
3,29.18167800
3,29.18861800
3,29.19425300
3,29.19899800
3,29.20312400
3,29.20656300
3,29.20959100
3,29.21220600
3,29.21454700
